Prop_Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,PropStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleCondition,SalePrice
PRO422,20,RL,,17104,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Gd,TA,CBlock,Gd,TA,No,1602,GasA,Gd,Y,SBrkr,1602,0,1,2,0,3,1,Gd,8,Typ,1,TA,Attchd,1977,Fin,2,529,TA,TA,Y,240,0,0,0,0,0,,,,0,2009,Normal,213763
PRO334,120,RM,59,8918,Pave,,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1358,GasA,Ex,Y,SBrkr,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,RFn,2,484,TA,TA,Y,192,30,0,0,0,0,,,,0,2008,Normal,208485
PRO364,160,RM,21,2624,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,483,GasA,Gd,Y,SBrkr,987,0,0,1,1,2,1,Gd,5,Typ,0,,Detchd,1972,Unf,1,264,TA,TA,Y,250,0,0,0,0,0,,,,0,2009,Normal,120624
PRO1309,20,RM,100,13106,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1948,2005,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,924,GasA,Ex,Y,SBrkr,1122,1,0,1,0,2,1,Gd,6,Typ,0,,Attchd,1948,Unf,2,528,TA,TA,Y,0,36,0,0,0,0,,GdWo,,0,2008,Normal,146317
PRO1405,50,RL,60,10789,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,3,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,672,GasA,TA,Y,SBrkr,1214,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1998,Unf,3,936,TA,TA,Y,216,0,160,0,0,0,,MnPrv,,0,2006,Family,107095
PRO70,50,RL,81,15846,Pave,,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,Gd,TA,CBlock,TA,TA,No,1304,GasW,TA,Y,SBrkr,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1953,Fin,2,667,TA,TA,Y,0,21,114,0,0,0,,,,0,2006,Normal,222577
PRO1038,60,RL,,10280,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1055,GasA,Ex,Y,SBrkr,2263,0,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001,Fin,2,905,TA,TA,Y,0,45,0,0,189,0,,,,0,2008,Normal,286075
PRO333,20,RL,85,11799,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,3564,GasA,Ex,Y,SBrkr,1629,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003,RFn,3,880,TA,TA,Y,0,0,0,0,0,0,,,,0,2009,Normal,287632
PRO849,50,RL,75,46515,Pave,,IR2,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,6,8,1908,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,No,907,GasA,TA,Y,SBrkr,2358,0,0,3,0,5,1,TA,10,Typ,1,Gd,Detchd,1908,Unf,2,360,Fa,TA,Y,486,40,0,0,175,0,,,,0,2008,Normal,237491
PRO1176,50,RL,,11997,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,1992,2000,Hip,CompShg,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,No,1683,GasA,Ex,Y,SBrkr,2872,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1992,Fin,2,541,TA,TA,Y,0,33,0,0,0,0,,,,0,2007,Normal,289759
PRO1443,60,FV,85,11655,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,10,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Av,1017,GasA,Ex,Y,SBrkr,2007,1,0,2,1,3,1,Ex,10,Typ,1,Ex,Attchd,2008,Fin,3,812,TA,TA,Y,168,52,0,0,0,0,,,,0,2009,Normal,313071
PRO756,160,FV,34,4387,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,No,729,GasA,Gd,Y,SBrkr,1485,0,0,2,1,3,1,TA,6,Typ,0,,Detchd,1999,Unf,2,440,TA,TA,Y,0,24,0,0,0,0,,,,0,2009,Normal,172524
PRO1436,20,RL,80,9098,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,9,1962,2005,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,CBlock,TA,TA,No,1319,GasA,TA,Y,SBrkr,1537,1,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,1962,RFn,2,462,TA,TA,Y,0,36,0,0,0,0,,GdPrv,,0,2008,Abnorml,175535
PRO930,60,RL,,13889,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,964,GasA,Gd,Y,SBrkr,2236,0,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,1997,Fin,2,642,TA,TA,Y,0,0,0,0,0,0,,,,0,2006,Normal,224438
PRO59,60,RL,66,14546,Pave,,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Gd,1410,GasA,Ex,Y,SBrkr,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,Fin,3,641,TA,TA,Y,192,0,37,0,0,0,,,,0,2006,Partial,436980
PRO749,20,RL,59,10843,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1720,GasA,Ex,Y,SBrkr,1720,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1996,Fin,2,527,TA,TA,Y,240,56,154,0,0,0,,,,0,2010,Normal,261165
PRO663,20,RL,120,14565,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,3,1968,1968,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,Fa,Fa,No,1785,GasA,Gd,Y,SBrkr,1392,1,0,1,0,2,1,TA,5,Maj2,2,TA,Attchd,1968,RFn,2,576,TA,TA,Y,0,0,240,0,0,0,,,,0,2009,Normal,112070
PRO1044,60,RL,86,12154,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,1475,GasA,Ex,Y,SBrkr,2365,1,0,2,1,4,1,Gd,10,Typ,1,Ex,Attchd,1990,Unf,2,514,TA,TA,Y,192,121,0,0,0,0,,,,0,2008,Normal,264740
PRO144,20,RL,78,10383,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Gd,1490,GasA,Ex,Y,SBrkr,1501,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1999,RFn,2,577,TA,TA,Y,144,29,0,0,0,0,,,,0,2009,Normal,205359
PRO350,60,RL,56,20574,Pave,,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Ex,TA,PConc,Ex,TA,No,1848,GasA,Ex,Y,SBrkr,2728,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,2006,Fin,3,706,TA,TA,Y,0,0,0,0,0,0,,,,0,2006,Partial,435763
PRO1037,20,RL,89,13572,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Gd,1620,GasA,Ex,Y,SBrkr,1620,1,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2008,Fin,3,912,TA,TA,Y,228,0,0,0,0,0,,,,0,2009,Normal,314454
PRO960,160,FV,24,2504,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Hip,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,696,GasA,Ex,Y,SBrkr,1416,1,0,2,1,3,1,Gd,6,Typ,0,,Detchd,1999,Unf,2,484,TA,TA,Y,0,44,0,0,0,0,,,,0,2010,Normal,156021
PRO227,60,RL,82,10614,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1203,GasA,Ex,Y,SBrkr,2520,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1995,RFn,3,721,TA,TA,Y,224,114,0,0,0,0,,,,0,2007,Abnorml,289583
PRO465,20,RL,60,9052,Pave,,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,No,1040,GasA,TA,Y,SBrkr,1040,0,0,2,0,3,1,TA,5,Typ,0,,,,,0,0,,,Y,0,0,0,0,0,0,,,,0,2009,Normal,123069
PRO1330,60,RL,63,9957,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,935,GasA,Gd,Y,SBrkr,1632,0,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,1998,Fin,2,462,TA,TA,Y,0,28,0,0,0,0,,,,0,2006,Normal,179235
PRO757,60,RL,68,11694,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,866,GasA,Ex,Y,SBrkr,1768,0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2007,RFn,2,578,TA,TA,Y,144,105,0,0,0,0,,,,0,2009,Normal,210215
PRO312,20,RL,50,9112,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,972,GasA,Ex,Y,SBrkr,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,,,,0,2009,Normal,136733
PRO991,60,RL,82,10797,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1396,GasA,Ex,Y,SBrkr,2392,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1997,Fin,3,870,TA,TA,Y,0,70,0,0,0,0,,,,0,2006,Normal,347622
PRO878,60,RL,74,9058,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,1462,GasA,Ex,Y,SBrkr,2224,1,0,2,1,4,1,Ex,10,Typ,1,Gd,Attchd,2004,Fin,3,738,TA,TA,Y,184,0,0,0,0,0,,,,0,2009,Normal,351433
PRO665,20,RL,49,21158,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Mn,2077,GasA,Ex,Y,SBrkr,2097,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2005,Fin,3,1134,TA,TA,Y,192,267,0,0,0,0,,,,0,2006,Partial,425120
PRO357,20,RL,,9189,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,1158,GasA,Gd,Y,SBrkr,1167,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1992,RFn,2,400,TA,TA,Y,120,26,0,0,0,0,,,,0,2009,Normal,172083
PRO599,20,RL,80,13289,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,Gd,TA,Mn,1430,GasA,Ex,Y,SBrkr,1647,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1977,Fin,2,621,TA,TA,Y,0,0,0,0,0,0,,,,0,2006,Normal,218849
PRO607,20,RL,82,13468,Pave,,IR2,Low,AllPub,Corner,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,Gd,TA,No,1040,GasA,Gd,Y,SBrkr,1040,1,0,1,0,3,1,Gd,6,Typ,0,,Detchd,2000,Unf,2,576,TA,TA,Y,168,0,0,0,0,0,,GdPrv,,0,2009,Normal,152946
PRO697,30,RM,50,6603,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1921,1950,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,CBlock,TA,TA,No,616,GasA,Gd,Y,SBrkr,616,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1921,Unf,1,205,TA,TA,Y,0,0,129,0,0,0,,,,0,2006,Normal,90416
PRO789,20,RM,50,6255,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1954,2000,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,901,GasA,Ex,Y,SBrkr,901,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1954,Unf,1,281,Fa,TA,Y,0,0,0,0,0,0,,,,0,2008,Normal,107088
PRO1009,20,RL,43,13052,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Mn,1710,GasA,Ex,Y,SBrkr,1710,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,Fin,2,550,TA,TA,Y,100,48,0,0,180,0,,,,0,2009,Normal,239427
PRO69,30,RM,47,5560,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,747,GasA,TA,Y,SBrkr,747,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1945,Unf,1,220,TA,TA,Y,0,0,0,0,0,0,,,,0,2010,Normal,84616
PRO1131,50,RL,65,8868,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,TA,TA,BrkTil,TA,TA,No,214,GasA,TA,Y,SBrkr,1981,1,0,2,0,4,1,Gd,7,Min2,2,TA,Detchd,1981,Unf,2,576,TA,TA,Y,431,44,0,0,0,0,,MnPrv,,0,2009,Normal,134063
PRO242,30,RM,40,3821,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,1997,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,686,GasA,Gd,Y,SBrkr,866,0,0,1,0,2,1,Gd,4,Typ,0,,,,,0,0,,,Y,58,42,0,0,0,0,,,,0,2007,Normal,111101
PRO557,20,RL,69,15503,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,1092,GasA,TA,Y,FuseA,1092,1,0,1,0,2,1,TA,6,Typ,1,TA,Attchd,1957,Fin,1,299,TA,TA,Y,268,0,0,0,122,0,,MnWw,,0,2006,Normal,142253
PRO15,20,RL,,11549,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,1253,GasA,TA,Y,SBrkr,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,2008,Normal,160083
PRO324,20,RM,49,6914,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,1162,GasA,Ex,Y,SBrkr,1163,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1955,Unf,1,220,Fa,TA,Y,142,98,0,0,0,0,,,,0,2006,Normal,125842
PRO777,20,RL,86,11946,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1614,GasA,Ex,Y,SBrkr,1614,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2005,RFn,3,865,TA,TA,Y,144,59,0,0,0,0,,,,0,2006,Partial,218939
PRO1125,80,RL,,9943,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,384,GasA,Gd,Y,SBrkr,1482,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1992,Fin,2,392,TA,TA,Y,100,25,0,0,0,0,,,,0,2007,Normal,161984
PRO1114,20,RL,66,9345,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2006,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,1008,GasA,Gd,Y,SBrkr,1008,1,0,1,0,2,1,Gd,6,Typ,0,,Attchd,1953,Unf,1,240,TA,TA,Y,0,18,0,0,0,0,,,,0,2007,Normal,139600
PRO927,60,RL,93,12171,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1181,GasA,Ex,Y,SBrkr,2374,0,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,2003,Fin,3,656,TA,TA,Y,104,100,0,0,0,0,,,,0,2007,Normal,290220
PRO548,85,RL,54,7871,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,7,1970,1970,Gable,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,Gd,TA,Av,768,GasA,Ex,Y,SBrkr,768,1,0,1,0,2,1,TA,5,Typ,0,,Detchd,1987,Unf,2,624,TA,TA,Y,104,0,0,0,0,0,,,,0,2007,Normal,128863
PRO721,120,RL,,6465,Pave,,IR1,Low,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,Gd,1742,GasA,TA,Y,SBrkr,1742,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1985,RFn,2,564,TA,TA,Y,114,28,234,0,0,0,,,,0,2006,Normal,273984
PRO1047,60,RL,85,16603,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Gd,TA,PConc,Ex,TA,Av,1992,GasA,Ex,Y,SBrkr,2868,0,0,3,1,4,1,Ex,11,Typ,1,Gd,BuiltIn,2005,Fin,3,716,TA,TA,Y,214,108,0,0,0,0,,,,0,2006,Partial,555860
